id,time_dimension,source_page_name,visitor_count,visitor_ratio,rank,dt
1,日,,27,0.2935,1,2025-01-01
2,日,活动页,9,0.0978,2,2025-01-01
3,日,宝贝页,7,0.0761,3,2025-01-01
4,日,商品详情页_2,7,0.0761,4,2025-01-01
5,日,购物车,7,0.0761,5,2025-01-01
6,日,下单页,7,0.0761,6,2025-01-01
7,日,新品页,5,0.0543,7,2025-01-01
8,日,分类页,4,0.0435,8,2025-01-01
9,日,商品详情页_1,4,0.0435,9,2025-01-01
10,日,直播页,4,0.0435,10,2025-01-01
11,日,首页,3,0.0326,11,2025-01-01
12,日,商品详情页_3,2,0.0217,12,2025-01-01
13,日,订阅页,2,0.0217,13,2025-01-01
14,日,百度搜索,2,0.0217,14,2025-01-01
15,日,微信,2,0.0217,15,2025-01-01
16,日,,27,0.2813,1,2025-01-02
17,日,首页,10,0.1042,2,2025-01-02
18,日,订阅页,9,0.0938,3,2025-01-02
19,日,购物车,9,0.0938,4,2025-01-02
20,日,直播页,8,0.0833,5,2025-01-02
21,日,商品详情页_2,6,0.0625,6,2025-01-02
22,日,百度搜索,5,0.0521,7,2025-01-02
23,日,商品详情页_3,4,0.0417,8,2025-01-02
24,日,下单页,4,0.0417,9,2025-01-02
25,日,活动页,3,0.0313,10,2025-01-02
26,日,宝贝页,3,0.0313,11,2025-01-02
27,日,商品详情页_1,3,0.0313,12,2025-01-02
28,日,微信,3,0.0313,13,2025-01-02
29,日,分类页,1,0.0104,14,2025-01-02
30,日,新品页,1,0.0104,15,2025-01-02
31,日,,32,0.3333,1,2025-01-03
32,日,宝贝页,9,0.0938,2,2025-01-03
33,日,活动页,7,0.0729,3,2025-01-03
34,日,下单页,7,0.0729,4,2025-01-03
35,日,直播页,6,0.0625,5,2025-01-03
36,日,分类页,5,0.0521,6,2025-01-03
37,日,商品详情页_2,5,0.0521,7,2025-01-03
38,日,百度搜索,5,0.0521,8,2025-01-03
39,日,商品详情页_3,4,0.0417,9,2025-01-03
40,日,购物车,4,0.0417,10,2025-01-03
41,日,首页,3,0.0313,11,2025-01-03
42,日,订阅页,3,0.0313,12,2025-01-03
43,日,新品页,2,0.0208,13,2025-01-03
44,日,商品详情页_1,2,0.0208,14,2025-01-03
45,日,微信,2,0.0208,15,2025-01-03
46,日,,36,0.3333,1,2025-01-04
47,日,分类页,10,0.0926,2,2025-01-04
48,日,百度搜索,9,0.0833,3,2025-01-04
49,日,新品页,8,0.0741,4,2025-01-04
50,日,宝贝页,7,0.0648,5,2025-01-04
51,日,订阅页,7,0.0648,6,2025-01-04
52,日,商品详情页_3,5,0.0463,7,2025-01-04
53,日,微信,5,0.0463,8,2025-01-04
54,日,首页,4,0.0370,9,2025-01-04
55,日,购物车,4,0.0370,10,2025-01-04
56,日,下单页,4,0.0370,11,2025-01-04
57,日,商品详情页_1,3,0.0278,12,2025-01-04
58,日,商品详情页_2,3,0.0278,13,2025-01-04
59,日,直播页,2,0.0185,14,2025-01-04
60,日,活动页,1,0.0093,15,2025-01-04
61,日,,34,0.3579,1,2025-01-05
62,日,宝贝页,8,0.0842,2,2025-01-05
63,日,商品详情页_3,6,0.0632,3,2025-01-05
64,日,购物车,6,0.0632,4,2025-01-05
65,日,活动页,5,0.0526,5,2025-01-05
66,日,商品详情页_1,5,0.0526,6,2025-01-05
67,日,下单页,5,0.0526,7,2025-01-05
68,日,首页,4,0.0421,8,2025-01-05
69,日,订阅页,4,0.0421,9,2025-01-05
70,日,直播页,4,0.0421,10,2025-01-05
71,日,百度搜索,4,0.0421,11,2025-01-05
72,日,商品详情页_2,3,0.0316,12,2025-01-05
73,日,微信,3,0.0316,13,2025-01-05
74,日,分类页,2,0.0211,14,2025-01-05
75,日,新品页,2,0.0211,15,2025-01-05
76,日,,38,0.3519,1,2025-01-06
77,日,微信,11,0.1019,2,2025-01-06
78,日,宝贝页,8,0.0741,3,2025-01-06
79,日,活动页,7,0.0648,4,2025-01-06
80,日,购物车,6,0.0556,5,2025-01-06
81,日,商品详情页_1,5,0.0463,6,2025-01-06
82,日,商品详情页_2,5,0.0463,7,2025-01-06
83,日,商品详情页_3,5,0.0463,8,2025-01-06
84,日,订阅页,5,0.0463,9,2025-01-06
85,日,下单页,5,0.0463,10,2025-01-06
86,日,首页,3,0.0278,11,2025-01-06
87,日,新品页,3,0.0278,12,2025-01-06
88,日,直播页,3,0.0278,13,2025-01-06
89,日,分类页,2,0.0185,14,2025-01-06
90,日,百度搜索,2,0.0185,15,2025-01-06
91,日,,35,0.2991,1,2025-01-07
92,日,商品详情页_2,9,0.0769,2,2025-01-07
93,日,首页,8,0.0684,3,2025-01-07
94,日,分类页,8,0.0684,4,2025-01-07
95,日,订阅页,8,0.0684,5,2025-01-07
96,日,活动页,7,0.0598,6,2025-01-07
97,日,百度搜索,7,0.0598,7,2025-01-07
98,日,购物车,6,0.0513,8,2025-01-07
99,日,商品详情页_3,5,0.0427,9,2025-01-07
100,日,直播页,5,0.0427,10,2025-01-07
101,日,新品页,4,0.0342,11,2025-01-07
102,日,商品详情页_1,4,0.0342,12,2025-01-07
103,日,微信,4,0.0342,13,2025-01-07
104,日,下单页,4,0.0342,14,2025-01-07
105,日,宝贝页,3,0.0256,15,2025-01-07
106,日,,30,0.3093,1,2025-01-08
107,日,微信,10,0.1031,2,2025-01-08
108,日,购物车,7,0.0722,3,2025-01-08
109,日,宝贝页,6,0.0619,4,2025-01-08
110,日,商品详情页_1,6,0.0619,5,2025-01-08
111,日,商品详情页_2,6,0.0619,6,2025-01-08
112,日,活动页,5,0.0515,7,2025-01-08
113,日,分类页,5,0.0515,8,2025-01-08
114,日,直播页,5,0.0515,9,2025-01-08
115,日,订阅页,4,0.0412,10,2025-01-08
116,日,首页,3,0.0309,11,2025-01-08
117,日,商品详情页_3,3,0.0309,12,2025-01-08
118,日,下单页,3,0.0309,13,2025-01-08
119,日,新品页,2,0.0206,14,2025-01-08
120,日,百度搜索,2,0.0206,15,2025-01-08
121,日,,23,0.2987,1,2025-01-09
122,日,商品详情页_1,7,0.0909,2,2025-01-09
123,日,微信,7,0.0909,3,2025-01-09
124,日,下单页,6,0.0779,4,2025-01-09
125,日,直播页,5,0.0649,5,2025-01-09
126,日,首页,4,0.0519,6,2025-01-09
127,日,分类页,4,0.0519,7,2025-01-09
128,日,新品页,3,0.0390,8,2025-01-09
129,日,商品详情页_2,3,0.0390,9,2025-01-09
130,日,商品详情页_3,3,0.0390,10,2025-01-09
131,日,百度搜索,3,0.0390,11,2025-01-09
132,日,购物车,3,0.0390,12,2025-01-09
133,日,活动页,2,0.0260,13,2025-01-09
134,日,宝贝页,2,0.0260,14,2025-01-09
135,日,订阅页,2,0.0260,15,2025-01-09
136,日,,30,0.3093,1,2025-01-10
137,日,宝贝页,10,0.1031,2,2025-01-10
138,日,首页,8,0.0825,3,2025-01-10
139,日,活动页,7,0.0722,4,2025-01-10
140,日,商品详情页_3,7,0.0722,5,2025-01-10
141,日,百度搜索,7,0.0722,6,2025-01-10
142,日,商品详情页_1,5,0.0515,7,2025-01-10
143,日,商品详情页_2,5,0.0515,8,2025-01-10
144,日,下单页,5,0.0515,9,2025-01-10
145,日,分类页,4,0.0412,10,2025-01-10
146,日,订阅页,3,0.0309,11,2025-01-10
147,日,直播页,2,0.0206,12,2025-01-10
148,日,微信,2,0.0206,13,2025-01-10
149,日,新品页,1,0.0103,14,2025-01-10
150,日,购物车,1,0.0103,15,2025-01-10
151,日,,31,0.3010,1,2025-01-11
152,日,商品详情页_3,10,0.0971,2,2025-01-11
153,日,新品页,8,0.0777,3,2025-01-11
154,日,微信,8,0.0777,4,2025-01-11
155,日,订阅页,7,0.0680,5,2025-01-11
156,日,商品详情页_2,6,0.0583,6,2025-01-11
157,日,直播页,6,0.0583,7,2025-01-11
158,日,活动页,5,0.0485,8,2025-01-11
159,日,百度搜索,4,0.0388,9,2025-01-11
160,日,购物车,4,0.0388,10,2025-01-11
161,日,下单页,4,0.0388,11,2025-01-11
162,日,首页,3,0.0291,12,2025-01-11
163,日,宝贝页,3,0.0291,13,2025-01-11
164,日,商品详情页_1,3,0.0291,14,2025-01-11
165,日,分类页,1,0.0097,15,2025-01-11
166,日,,27,0.2967,1,2025-01-12
167,日,下单页,8,0.0879,2,2025-01-12
168,日,商品详情页_3,7,0.0769,3,2025-01-12
169,日,首页,6,0.0659,4,2025-01-12
170,日,宝贝页,6,0.0659,5,2025-01-12
171,日,订阅页,6,0.0659,6,2025-01-12
172,日,百度搜索,5,0.0549,7,2025-01-12
173,日,购物车,5,0.0549,8,2025-01-12
174,日,商品详情页_1,4,0.0440,9,2025-01-12
175,日,分类页,3,0.0330,10,2025-01-12
176,日,新品页,3,0.0330,11,2025-01-12
177,日,商品详情页_2,3,0.0330,12,2025-01-12
178,日,直播页,3,0.0330,13,2025-01-12
179,日,微信,3,0.0330,14,2025-01-12
180,日,活动页,2,0.0220,15,2025-01-12
181,日,,20,0.2128,1,2025-01-13
182,日,订阅页,9,0.0957,2,2025-01-13
183,日,活动页,7,0.0745,3,2025-01-13
184,日,直播页,7,0.0745,4,2025-01-13
185,日,购物车,7,0.0745,5,2025-01-13
186,日,商品详情页_3,6,0.0638,6,2025-01-13
187,日,首页,5,0.0532,7,2025-01-13
188,日,新品页,5,0.0532,8,2025-01-13
189,日,商品详情页_1,5,0.0532,9,2025-01-13
190,日,微信,5,0.0532,10,2025-01-13
191,日,下单页,5,0.0532,11,2025-01-13
192,日,分类页,4,0.0426,12,2025-01-13
193,日,商品详情页_2,4,0.0426,13,2025-01-13
194,日,宝贝页,3,0.0319,14,2025-01-13
195,日,百度搜索,2,0.0213,15,2025-01-13
196,日,,24,0.2697,1,2025-01-14
197,日,新品页,10,0.1124,2,2025-01-14
198,日,分类页,9,0.1011,3,2025-01-14
199,日,微信,8,0.0899,4,2025-01-14
200,日,直播页,5,0.0562,5,2025-01-14
201,日,百度搜索,5,0.0562,6,2025-01-14
202,日,购物车,5,0.0562,7,2025-01-14
203,日,商品详情页_1,4,0.0449,8,2025-01-14
204,日,下单页,4,0.0449,9,2025-01-14
205,日,宝贝页,3,0.0337,10,2025-01-14
206,日,商品详情页_2,3,0.0337,11,2025-01-14
207,日,商品详情页_3,3,0.0337,12,2025-01-14
208,日,首页,2,0.0225,13,2025-01-14
209,日,活动页,2,0.0225,14,2025-01-14
210,日,订阅页,2,0.0225,15,2025-01-14
211,日,,38,0.3619,1,2025-01-15
212,日,订阅页,8,0.0762,2,2025-01-15
213,日,购物车,7,0.0667,3,2025-01-15
214,日,首页,6,0.0571,4,2025-01-15
215,日,活动页,6,0.0571,5,2025-01-15
216,日,微信,6,0.0571,6,2025-01-15
217,日,分类页,5,0.0476,7,2025-01-15
218,日,商品详情页_1,5,0.0476,8,2025-01-15
219,日,直播页,5,0.0476,9,2025-01-15
220,日,下单页,5,0.0476,10,2025-01-15
221,日,宝贝页,4,0.0381,11,2025-01-15
222,日,百度搜索,4,0.0381,12,2025-01-15
223,日,商品详情页_3,3,0.0286,13,2025-01-15
224,日,新品页,2,0.0190,14,2025-01-15
225,日,商品详情页_2,1,0.0095,15,2025-01-15
226,日,,29,0.2990,1,2025-01-16
227,日,首页,7,0.0722,2,2025-01-16
228,日,分类页,7,0.0722,3,2025-01-16
229,日,新品页,7,0.0722,4,2025-01-16
230,日,直播页,6,0.0619,5,2025-01-16
231,日,活动页,5,0.0515,6,2025-01-16
232,日,商品详情页_2,5,0.0515,7,2025-01-16
233,日,商品详情页_3,5,0.0515,8,2025-01-16
234,日,订阅页,5,0.0515,9,2025-01-16
235,日,百度搜索,5,0.0515,10,2025-01-16
236,日,商品详情页_1,4,0.0412,11,2025-01-16
237,日,购物车,4,0.0412,12,2025-01-16
238,日,微信,3,0.0309,13,2025-01-16
239,日,下单页,3,0.0309,14,2025-01-16
240,日,宝贝页,2,0.0206,15,2025-01-16
241,日,,28,0.2772,1,2025-01-17
242,日,首页,7,0.0693,2,2025-01-17
243,日,商品详情页_1,7,0.0693,3,2025-01-17
244,日,下单页,7,0.0693,4,2025-01-17
245,日,活动页,6,0.0594,5,2025-01-17
246,日,分类页,6,0.0594,6,2025-01-17
247,日,商品详情页_2,6,0.0594,7,2025-01-17
248,日,直播页,6,0.0594,8,2025-01-17
249,日,新品页,5,0.0495,9,2025-01-17
250,日,百度搜索,5,0.0495,10,2025-01-17
251,日,宝贝页,4,0.0396,11,2025-01-17
252,日,订阅页,4,0.0396,12,2025-01-17
253,日,微信,4,0.0396,13,2025-01-17
254,日,商品详情页_3,3,0.0297,14,2025-01-17
255,日,购物车,3,0.0297,15,2025-01-17
256,日,,34,0.3036,1,2025-01-18
257,日,首页,9,0.0804,2,2025-01-18
258,日,商品详情页_2,9,0.0804,3,2025-01-18
259,日,下单页,8,0.0714,4,2025-01-18
260,日,订阅页,7,0.0625,5,2025-01-18
261,日,分类页,6,0.0536,6,2025-01-18
262,日,百度搜索,6,0.0536,7,2025-01-18
263,日,微信,6,0.0536,8,2025-01-18
264,日,购物车,6,0.0536,9,2025-01-18
265,日,宝贝页,5,0.0446,10,2025-01-18
266,日,新品页,4,0.0357,11,2025-01-18
267,日,商品详情页_1,4,0.0357,12,2025-01-18
268,日,商品详情页_3,3,0.0268,13,2025-01-18
269,日,直播页,3,0.0268,14,2025-01-18
270,日,活动页,2,0.0179,15,2025-01-18
271,日,,35,0.3241,1,2025-01-19
272,日,活动页,9,0.0833,2,2025-01-19
273,日,商品详情页_1,8,0.0741,3,2025-01-19
274,日,宝贝页,7,0.0648,4,2025-01-19
275,日,百度搜索,7,0.0648,5,2025-01-19
276,日,商品详情页_2,6,0.0556,6,2025-01-19
277,日,微信,6,0.0556,7,2025-01-19
278,日,购物车,6,0.0556,8,2025-01-19
279,日,下单页,6,0.0556,9,2025-01-19
280,日,首页,5,0.0463,10,2025-01-19
281,日,商品详情页_3,4,0.0370,11,2025-01-19
282,日,订阅页,4,0.0370,12,2025-01-19
283,日,分类页,2,0.0185,13,2025-01-19
284,日,直播页,2,0.0185,14,2025-01-19
285,日,新品页,1,0.0093,15,2025-01-19
286,日,,35,0.3043,1,2025-01-20
287,日,百度搜索,10,0.0870,2,2025-01-20
288,日,宝贝页,9,0.0783,3,2025-01-20
289,日,分类页,7,0.0609,4,2025-01-20
290,日,微信,7,0.0609,5,2025-01-20
291,日,活动页,6,0.0522,6,2025-01-20
292,日,商品详情页_2,6,0.0522,7,2025-01-20
293,日,直播页,6,0.0522,8,2025-01-20
294,日,下单页,6,0.0522,9,2025-01-20
295,日,订阅页,5,0.0435,10,2025-01-20
296,日,首页,4,0.0348,11,2025-01-20
297,日,商品详情页_3,4,0.0348,12,2025-01-20
298,日,购物车,4,0.0348,13,2025-01-20
299,日,新品页,3,0.0261,14,2025-01-20
300,日,商品详情页_1,3,0.0261,15,2025-01-20
301,日,,23,0.2644,1,2025-01-21
302,日,宝贝页,8,0.0920,2,2025-01-21
303,日,直播页,8,0.0920,3,2025-01-21
304,日,活动页,5,0.0575,4,2025-01-21
305,日,分类页,5,0.0575,5,2025-01-21
306,日,商品详情页_3,5,0.0575,6,2025-01-21
307,日,百度搜索,5,0.0575,7,2025-01-21
308,日,微信,5,0.0575,8,2025-01-21
309,日,新品页,4,0.0460,9,2025-01-21
310,日,商品详情页_2,4,0.0460,10,2025-01-21
311,日,订阅页,4,0.0460,11,2025-01-21
312,日,购物车,4,0.0460,12,2025-01-21
313,日,首页,3,0.0345,13,2025-01-21
314,日,下单页,3,0.0345,14,2025-01-21
315,日,商品详情页_1,1,0.0115,15,2025-01-21
316,日,,29,0.2544,1,2025-01-22
317,日,商品详情页_1,13,0.1140,2,2025-01-22
318,日,分类页,8,0.0702,3,2025-01-22
319,日,商品详情页_3,8,0.0702,4,2025-01-22
320,日,订阅页,8,0.0702,5,2025-01-22
321,日,购物车,8,0.0702,6,2025-01-22
322,日,微信,7,0.0614,7,2025-01-22
323,日,新品页,6,0.0526,8,2025-01-22
324,日,直播页,6,0.0526,9,2025-01-22
325,日,宝贝页,5,0.0439,10,2025-01-22
326,日,商品详情页_2,5,0.0439,11,2025-01-22
327,日,百度搜索,5,0.0439,12,2025-01-22
328,日,首页,2,0.0175,13,2025-01-22
329,日,活动页,2,0.0175,14,2025-01-22
330,日,下单页,2,0.0175,15,2025-01-22
331,日,,32,0.2936,1,2025-01-23
332,日,商品详情页_3,9,0.0826,2,2025-01-23
333,日,直播页,9,0.0826,3,2025-01-23
334,日,购物车,9,0.0826,4,2025-01-23
335,日,宝贝页,6,0.0550,5,2025-01-23
336,日,百度搜索,6,0.0550,6,2025-01-23
337,日,微信,6,0.0550,7,2025-01-23
338,日,首页,5,0.0459,8,2025-01-23
339,日,活动页,5,0.0459,9,2025-01-23
340,日,商品详情页_1,5,0.0459,10,2025-01-23
341,日,新品页,4,0.0367,11,2025-01-23
342,日,商品详情页_2,4,0.0367,12,2025-01-23
343,日,下单页,4,0.0367,13,2025-01-23
344,日,分类页,3,0.0275,14,2025-01-23
345,日,订阅页,2,0.0183,15,2025-01-23
346,日,,28,0.2745,1,2025-01-24
347,日,宝贝页,9,0.0882,2,2025-01-24
348,日,下单页,9,0.0882,3,2025-01-24
349,日,订阅页,7,0.0686,4,2025-01-24
350,日,百度搜索,7,0.0686,5,2025-01-24
351,日,活动页,6,0.0588,6,2025-01-24
352,日,新品页,6,0.0588,7,2025-01-24
353,日,商品详情页_1,6,0.0588,8,2025-01-24
354,日,商品详情页_3,5,0.0490,9,2025-01-24
355,日,首页,4,0.0392,10,2025-01-24
356,日,微信,4,0.0392,11,2025-01-24
357,日,分类页,3,0.0294,12,2025-01-24
358,日,直播页,3,0.0294,13,2025-01-24
359,日,购物车,3,0.0294,14,2025-01-24
360,日,商品详情页_2,2,0.0196,15,2025-01-24
361,日,,39,0.4105,1,2025-01-25
362,日,百度搜索,8,0.0842,2,2025-01-25
363,日,商品详情页_3,7,0.0737,3,2025-01-25
364,日,分类页,5,0.0526,4,2025-01-25
365,日,商品详情页_2,5,0.0526,5,2025-01-25
366,日,订阅页,5,0.0526,6,2025-01-25
367,日,直播页,5,0.0526,7,2025-01-25
368,日,购物车,4,0.0421,8,2025-01-25
369,日,宝贝页,3,0.0316,9,2025-01-25
370,日,新品页,3,0.0316,10,2025-01-25
371,日,商品详情页_1,3,0.0316,11,2025-01-25
372,日,首页,2,0.0211,12,2025-01-25
373,日,活动页,2,0.0211,13,2025-01-25
374,日,微信,2,0.0211,14,2025-01-25
375,日,下单页,2,0.0211,15,2025-01-25
376,日,,30,0.2703,1,2025-01-26
377,日,分类页,9,0.0811,2,2025-01-26
378,日,直播页,8,0.0721,3,2025-01-26
379,日,活动页,7,0.0631,4,2025-01-26
380,日,宝贝页,7,0.0631,5,2025-01-26
381,日,商品详情页_2,7,0.0631,6,2025-01-26
382,日,微信,7,0.0631,7,2025-01-26
383,日,首页,6,0.0541,8,2025-01-26
384,日,订阅页,6,0.0541,9,2025-01-26
385,日,百度搜索,6,0.0541,10,2025-01-26
386,日,下单页,5,0.0450,11,2025-01-26
387,日,商品详情页_3,4,0.0360,12,2025-01-26
388,日,购物车,4,0.0360,13,2025-01-26
389,日,商品详情页_1,3,0.0270,14,2025-01-26
390,日,新品页,2,0.0180,15,2025-01-26
391,日,,27,0.2109,1,2025-01-27
392,日,活动页,11,0.0859,2,2025-01-27
393,日,直播页,10,0.0781,3,2025-01-27
394,日,分类页,9,0.0703,4,2025-01-27
395,日,下单页,9,0.0703,5,2025-01-27
396,日,首页,8,0.0625,6,2025-01-27
397,日,商品详情页_1,7,0.0547,7,2025-01-27
398,日,商品详情页_2,7,0.0547,8,2025-01-27
399,日,订阅页,7,0.0547,9,2025-01-27
400,日,微信,7,0.0547,10,2025-01-27
401,日,宝贝页,6,0.0469,11,2025-01-27
402,日,新品页,5,0.0391,12,2025-01-27
403,日,商品详情页_3,5,0.0391,13,2025-01-27
404,日,百度搜索,5,0.0391,14,2025-01-27
405,日,购物车,5,0.0391,15,2025-01-27
406,日,宝贝页,1,0.5000,1,2025-01-28
407,日,微信,1,0.5000,2,2025-01-28
408,日,,2,0.2500,1,2025-01-29
409,日,购物车,2,0.2500,2,2025-01-29
410,日,商品详情页_2,1,0.1250,3,2025-01-29
411,日,商品详情页_3,1,0.1250,4,2025-01-29
412,日,直播页,1,0.1250,5,2025-01-29
413,日,百度搜索,1,0.1250,6,2025-01-29
414,日,,4,0.2667,1,2025-01-30
415,日,活动页,3,0.2000,2,2025-01-30
416,日,商品详情页_2,3,0.2000,3,2025-01-30
417,日,分类页,1,0.0667,4,2025-01-30
418,日,订阅页,1,0.0667,5,2025-01-30
419,日,微信,1,0.0667,6,2025-01-30
420,日,购物车,1,0.0667,7,2025-01-30
421,日,下单页,1,0.0667,8,2025-01-30
